,AAPL__hl,AAPL__co,AAPL__ocp,AAPL__log_returns,AAPL__lret_squared,AAPL__earning_horizon1,AAPL__earning_horizon2,AAPL__earning_horizon3,AAPL__earning_horizon4,AAPL
2015-01-22,0.0176164273882981,0.0138941246323231,0.0022119475968632,0.0161060722291863,0.0002594055626517,0,0,0,1,0.146776216316827
2015-01-23,0.0195344844649981,0.0151404665000341,0.0005374417900778,0.0156779082901121,0.0002457968083531,0,0,1,0,0.160744728670715
2015-01-26,0.0101139774241971,-0.0004388933449705,0.0030507268250638,0.0026118334800937,6.8216741277386315e-06,0,1,0,0,0.1233509457881271
2015-01-27,0.0310275630796406,-0.0184447280458667,-0.0036152156768049,-0.022059943722672,0.0004866411170474,1,0,0,0,0.3024517416308528
2015-01-28,0.0545747653031978,0.0436680450520631,0.0048694094473099,0.0485374544993728,0.0023558844892786,0,0,0,0,0.4422951400260084
2015-01-29,0.0245322418637266,0.0175476865975076,-0.0028312832606449,0.0147164033368629,0.0002165725271732,0,0,0,0,0.2188054006096602
2015-01-30,0.0158780166117569,0.0089052811229652,0.0003351052299757,0.0092403863529408,8.538473995161621e-05,0,0,0,0,0.1551592467075433
2015-02-02,0.0200964402759235,-0.0074295988268816,-0.0091010972421271,-0.016530696069009,0.0002732639125259,0,0,0,0,0.2576567053401323
2015-02-03,0.0120855052218367,-0.0013557942614245,0.0064452954502485,0.0050895011888241,2.5903022351042125e-05,0,0,0,0,0.1693903521739987
2015-02-04,0.0182006876852885,0.0163280926130304,-0.0003384953912316,0.0159895972217984,0.0002556672193153,0,0,0,0,0.1257582338362862
2015-02-05,0.0070970852895592,-0.0009513531987476,0.0019565342986455,0.0010051810998983,1.0103890435928234e-06,0,0,0,0,0.0849882541854918
2015-02-06,0.0114162696815048,-0.0050062682781441,0.0033915124724654,-0.0016147558056789,2.607436311973829e-06,0,0,0,0,0.129925234618967
2015-02-09,0.0085567338293921,0.0073791237700668,-0.0057050761673074,0.0016740476027594,2.8024353763047125e-06,0,0,0,0,0.1101220069548874
2015-02-10,0.0167219587130393,0.016064928466013,0.0002496550556636,0.0163145835216766,0.0002661656354857,0,0,0,0,0.1006232028136149
2015-02-11,0.0218414530861823,0.0218414530861823,0.0008228621447612,0.0226643152309438,0.0005136711848875,0,0,0,0,0.1176431403611432
2015-02-12,0.0230997995514162,0.0145883252008273,0.0001590104733433,0.0147473356741705,0.0002174839094866,0,0,0,0,0.2156917377546713
2015-02-13,0.0128884501436775,-0.0090055115286923,0.0063111601087176,-0.0026943514199748,7.259529574320608e-06,0,0,0,0,0.1518972566235211
2015-02-16,0.0128884501436775,-0.0090055115286923,0.0063111601087176,-0.0026943514199748,7.259529574320608e-06,0,0,0,0,0.1518972566235211
2015-02-17,0.0148622195068315,0.0054165547086236,0.0073566221875092,0.0127731768961325,0.0001631540480198,0,0,0,0,0.1965038118463584
2015-02-18,0.0069615831231863,0.0014883869419566,-0.0006269592681852,0.0008614276737715,7.42057637139393e-07,0,0,0,0,0.0773939510127628
2015-02-19,0.0057135782677648,0.0019584746674538,0.0040235970100932,0.0059820716775473,3.578518155531458e-05,0,0,0,0,0.0884284778771843
2015-02-20,0.0057533979261655,0.0013972987834702,0.0016598869101821,0.0030571856936525,9.346384365473777e-06,0,0,0,0,0.068374364239235
2015-02-23,0.0261682873746211,0.0261682873746211,0.0006203955220311,0.0267886828966523,0.0007176335313373,0,0,0,0,0.1404227007618763
2015-02-24,0.0178364732309985,0.001658616695801,1.5104587943844244e-06,0.001660127154595,2.756022169423924e-06,0,0,0,0,0.1995440108579379
2015-02-25,0.0147640853550263,-0.0118475657173937,-0.0071126207841321,-0.0189601865015256,0.0003594886721726,0,0,0,0,0.1629410916947213
2015-02-26,0.0325402423969508,-0.0032373704168801,-0.002921143569408,-0.0061585139862883,3.792729451930867e-05,0,0,0,0,0.3668070094849735
2015-02-27,0.0152804331375998,-0.007877096873351,0.0050898544371355,-0.0027872424362156,7.768720398241309e-06,0,0,0,0,0.172939915979094
2015-03-02,0.0146134738050409,-0.0023291935996009,-0.0002326212548775,-0.0025618148544785,6.562895348627183e-06,0,0,0,0,0.1624600725126966
2015-03-03,0.0102485215963242,0.002861896217959,0.0034917591248438,0.0063536553428029,4.036893621512868e-05,0,0,0,0,0.1245360500441936
2015-03-04,0.0083790046039846,-0.0021708800586408,-0.0027069895489169,-0.0048778696075579,2.379361190833787e-05,0,0,0,0,0.1011632881517568
2015-03-05,0.0230210201884803,-0.0152595826155588,-0.0010872098609177,-0.0163467924764764,0.0002672176242689,0,0,0,0,0.2107278529700115
2015-03-06,0.0198335515765348,-0.0100243614901967,0.0123805392698485,0.0023561777796516,5.551573729324374e-06,0,0,0,0,0.2800151403239782
2015-03-09,0.0187876209395417,-0.0061985160208945,0.0067461818451283,0.000547665824234,2.999378550339557e-07,0,0,0,0,0.2284805911831944
2015-03-10,0.0254838979054322,-0.0188911627752367,-0.0003263601291794,-0.0192175229044164,0.0003693131865817,0,0,0,0,0.2170584791461522
2015-03-11,0.0212187338288258,-0.0121780609031611,0.0004008819456377,-0.0117771789575233,0.0001387019441975,0,0,0,0,0.2057501505588389
2015-03-12,0.0222794306299945,0.0206493429561604,-0.0083109742616977,0.0123383686944626,0.0001522353420404,0,0,0,0,0.1960644283887537
2015-03-13,0.0215407836738426,-0.0106719421773362,-0.003371872173516,-0.0140438143508525,0.0001972287215212,0,0,0,0,0.2241495141026102
2015-03-16,0.0130583408390411,0.0066118608878079,0.004703219827654,0.0113150807154625,0.0001280310515974,0,0,0,0,0.1510106256442294
2015-03-17,0.0222407896585981,0.0210798646711759,0.0005624071172225,0.0216422717883983,0.0004683879281629,0,0,0,0,0.1383804019201713
2015-03-18,0.0151547373530777,0.008378363142525,-9.673906767541589e-05,0.0082816240748493,6.858529731712412e-05,0,0,0,0,0.1486838112183312
2015-03-19,0.0136427764037869,-0.0039041542689611,0.0012510724412501,-0.0026530818277108,7.038843184529523e-06,0,0,0,0,0.1495407248091077
2015-03-20,0.0065635491140036,-0.0017966649366873,0.0020312506984078,0.0002345857617207,5.5030479602105166e-08,0,0,0,0,0.0784449817700769
2015-03-23,0.0102217951503142,0.0011766089642252,-0.002505873593211,-0.0013292646289859,1.7669444538732111e-06,0,0,0,0,0.120883268637453
2015-03-24,0.0106893462446356,-0.0021252320171887,-0.0043160381165499,-0.0064412701337386,4.1489960935793274e-05,0,0,0,0,0.1365710632089938
